Unseperated,principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,PDTcategory,PDTSsplit2DigitCode,PDTSsplit3DigitCode
237130: POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,237130,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,23,237,Construction and Renovation,0,0
237210: LAND SUBDIVISION,237210,LAND SUBDIVISION,23,237,Construction and Renovation,0,0
"237310: HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",23,237,Construction and Renovation,0,0
237990: OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,23,237,Construction and Renovation,0,0
238: SPECIALTY TRADE CONTRACTORS,238,SPECIALTY TRADE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238110: POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,238110,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,23,238,Construction and Renovation,0,0
238120: STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,238120,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,23,238,Construction and Renovation,0,0
238130: FRAMING CONTRACTORS,238130,FRAMING CONTRACTORS,23,238,Construction and Renovation,0,0
23814: MASONRY CONTRACTORS,23814,MASONRY CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238140: MASONRY CONTRACTORS,238140,MASONRY CONTRACTORS,23,238,Construction and Renovation,0,0
238150: GLASS AND GLAZING CONTRACTORS,238150,GLASS AND GLAZING CONTRACTORS,23,238,Construction and Renovation,0,0
23816: ROOFING CONTRACTORS,23816,ROOFING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238160: ROOFING CONTRACTORS,238160,ROOFING CONTRACTORS,23,238,Construction and Renovation,0,0
238170: SIDING CONTRACTORS,238170,SIDING CONTRACTORS,23,238,Construction and Renovation,0,0
"238190: OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",238190,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",23,238,Construction and Renovation,0,0
23821: ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,23821,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238210: ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,23,238,Construction and Renovation,0,0
"23822: PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",23822,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",NULL,NULL,NULL,NULL,NULL
"238220: PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",238220,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",23,238,Construction and Renovation,0,0
23829: OTHER BUILDING EQUIPMENT CONTRACTORS,23829,OTHER BUILDING EQUIPMENT CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238290: OTHER BUILDING EQUIPMENT CONTRACTORS,238290,OTHER BUILDING EQUIPMENT CONTRACTORS,23,238,Construction and Renovation,0,0
23831: DRYWALL AND INSULATION CONTRACTORS,23831,DRYWALL AND INSULATION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238310: DRYWALL AND INSULATION CONTRACTORS,238310,DRYWALL AND INSULATION CONTRACTORS,23,238,Construction and Renovation,0,0
23832: PAINTING AND WALL COVERING CONTRACTORS,23832,PAINTING AND WALL COVERING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238320: PAINTING AND WALL COVERING CONTRACTORS,238320,PAINTING AND WALL COVERING CONTRACTORS,23,238,Construction and Renovation,0,0
238330: FLOORING CONTRACTORS,238330,FLOORING CONTRACTORS,23,238,Construction and Renovation,0,0
238340: TILE AND TERRAZZO CONTRACTORS,238340,TILE AND TERRAZZO CONTRACTORS,23,238,Construction and Renovation,0,0
23835: FINISH CARPENTRY CONTRACTORS,23835,FINISH CARPENTRY CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238350: FINISH CARPENTRY CONTRACTORS,238350,FINISH CARPENTRY CONTRACTORS,23,238,Construction and Renovation,0,0
238390: OTHER BUILDING FINISHING CONTRACTORS,238390,OTHER BUILDING FINISHING CONTRACTORS,23,238,Construction and Renovation,0,0
2389: OTHER SPECIALTY TRADE CONTRACTORS,2389,OTHER SPECIALTY TRADE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238910: SITE PREPARATION CONTRACTORS,238910,SITE PREPARATION CONTRACTORS,23,238,Construction and Renovation,0,0
23899: ALL OTHER SPECIALTY TRADE CONTRACTORS,23899,ALL OTHER SPECIALTY TRADE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
238990: ALL OTHER SPECIALTY TRADE CONTRACTORS,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,23,238,Construction and Renovation,0,0
311111: DOG AND CAT FOOD MANUFACTURING,311111,DOG AND CAT FOOD MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311119: OTHER ANIMAL FOOD MANUFACTURING,311119,OTHER ANIMAL FOOD MANUFACTURING,31,311,Manufacturing,1,0
311211: FLOUR MILLING,311211,FLOUR MILLING,NULL,NULL,NULL,NULL,NULL
311212: RICE MILLING,311212,RICE MILLING,31,311,Manufacturing,1,0
311213: MALT MANUFACTURING,311213,MALT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311221: WET CORN MILLING,311221,WET CORN MILLING,NULL,NULL,NULL,NULL,NULL
311222: SOYBEAN PROCESSING,311222,SOYBEAN PROCESSING,NULL,NULL,NULL,NULL,NULL
311223: OTHER OILSEED PROCESSING,311223,OTHER OILSEED PROCESSING,NULL,NULL,NULL,NULL,NULL
NULL,311224,NULL,NULL,NULL,NULL,NULL,NULL
311225: FATS AND OILS REFINING AND BLENDING,311225,FATS AND OILS REFINING AND BLENDING,NULL,NULL,NULL,NULL,NULL
311230: BREAKFAST CEREAL MANUFACTURING,311230,BREAKFAST CEREAL MANUFACTURING,31,311,Manufacturing,1,0
311311: SUGARCANE MILLS,311311,SUGARCANE MILLS,NULL,NULL,NULL,NULL,NULL
311312: CANE SUGAR REFINING,311312,CANE SUGAR REFINING,NULL,NULL,NULL,NULL,NULL
311313: BEET SUGAR MANUFACTURING,311313,BEET SUGAR MANUFACTURING,NULL,NULL,NULL,NULL,NULL
NULL,311314,NULL,NULL,NULL,NULL,NULL,NULL
311320: CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS,311320,CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS,NULL,NULL,NULL,NULL,NULL
311330: CONFECTIONERY MANUFACTURING FROM PURCHASED CHOCOLATE,311330,CONFECTIONERY MANUFACTURING FROM PURCHASED CHOCOLATE,NULL,NULL,NULL,NULL,NULL
311340: NONCHOCOLATE CONFECTIONERY MANUFACTURING,311340,NONCHOCOLATE CONFECTIONERY MANUFACTURING,NULL,NULL,NULL,NULL,NULL
NULL,311351,NULL,NULL,NULL,NULL,NULL,NULL
NULL,311352,NULL,NULL,NULL,NULL,NULL,NULL
"311411: FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING",311411,"FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING",31,311,Manufacturing,1,0
311412: FROZEN SPECIALTY FOOD MANUFACTURING,311412,FROZEN SPECIALTY FOOD MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311421: FRUIT AND VEGETABLE CANNING,311421,FRUIT AND VEGETABLE CANNING,NULL,NULL,NULL,NULL,NULL
311422: SPECIALTY CANNING,311422,SPECIALTY CANNING,NULL,NULL,NULL,NULL,NULL
311423: DRIED AND DEHYDRATED FOOD MANUFACTURING,311423,DRIED AND DEHYDRATED FOOD MANUFACTURING,31,311,Manufacturing,1,0
311511: FLUID MILK MANUFACTURING,311511,FLUID MILK MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311512: CREAMERY BUTTER MANUFACTURING,311512,CREAMERY BUTTER MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311513: CHEESE MANUFACTURING,311513,CHEESE MANUFACTURING,NULL,NULL,NULL,NULL,NULL
"311514: DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING",311514,"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING",NULL,NULL,NULL,NULL,NULL
311520: ICE CREAM AND FROZEN DESSERT MANUFACTURING,311520,ICE CREAM AND FROZEN DESSERT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
31161: ANIMAL SLAUGHTERING AND PROCESSING,31161,ANIMAL SLAUGHTERING AND PROCESSING,NULL,NULL,NULL,NULL,NULL
311611: ANIMAL (EXCEPT POULTRY) SLAUGHTERING,311611,ANIMAL (EXCEPT POULTRY) SLAUGHTERING,NULL,NULL,NULL,NULL,NULL
311612: MEAT PROCESSED FROM CARCASSES,311612,MEAT PROCESSED FROM CARCASSES,NULL,NULL,NULL,NULL,NULL
311613: RENDERING AND MEAT BYPRODUCT PROCESSING,311613,RENDERING AND MEAT BYPRODUCT PROCESSING,NULL,NULL,NULL,NULL,NULL
311615: POULTRY PROCESSING,311615,POULTRY PROCESSING,NULL,NULL,NULL,NULL,NULL
NULL,311710,NULL,NULL,NULL,NULL,NULL,NULL
311711: SEAFOOD CANNING,311711,SEAFOOD CANNING,NULL,NULL,NULL,NULL,NULL
311712: FRESH AND FROZEN SEAFOOD PROCESSING,311712,FRESH AND FROZEN SEAFOOD PROCESSING,NULL,NULL,NULL,NULL,NULL
31181: BREAD AND BAKERY PRODUCT MANUFACTURING,31181,BREAD AND BAKERY PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311811: RETAIL BAKERIES,311811,RETAIL BAKERIES,NULL,NULL,NULL,NULL,NULL
311812: COMMERCIAL BAKERIES,311812,COMMERCIAL BAKERIES,NULL,NULL,NULL,NULL,NULL
"311813: FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING",311813,"FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING",NULL,NULL,NULL,NULL,NULL
311821: COOKIE AND CRACKER MANUFACTURING,311821,COOKIE AND CRACKER MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311822: FLOUR MIXES AND DOUGH MANUFACTURING FROM PURCHASED FLOUR,311822,FLOUR MIXES AND DOUGH MANUFACTURING FROM PURCHASED FLOUR,NULL,NULL,NULL,NULL,NULL
311823: DRY PASTA MANUFACTURING,311823,DRY PASTA MANUFACTURING,NULL,NULL,NULL,NULL,NULL
NULL,311824,NULL,NULL,NULL,NULL,NULL,NULL
311830: TORTILLA MANUFACTURING,311830,TORTILLA MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311911: ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311919: OTHER SNACK FOOD MANUFACTURING,311919,OTHER SNACK FOOD MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311920: COFFEE AND TEA MANUFACTURING,311920,COFFEE AND TEA MANUFACTURING,NULL,NULL,NULL,NULL,NULL
311930: FLAVORING SYRUP AND CONCENTRATE MANUFACTURING,311930,FLAVORING SYRUP AND CONCENTRATE MANUFACTURING,NULL,NULL,NULL,NULL,NULL
"311941: MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING",311941,"MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING",NULL,NULL,NULL,NULL,NULL
311942: SPICE AND EXTRACT MANUFACTURING,311942,SPICE AND EXTRACT MANUFACTURING,31,311,Manufacturing,1,0
311991: PERISHABLE PREPARED FOOD MANUFACTURING,311991,PERISHABLE PREPARED FOOD MANUFACTURING,31,311,Manufacturing,1,0
311999: ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,31,311,Manufacturing,1,0
312111: SOFT DRINK MANUFACTURING,312111,SOFT DRINK MANUFACTURING,NULL,NULL,NULL,NULL,NULL
312112: BOTTLED WATER MANUFACTURING,312112,BOTTLED WATER MANUFACTURING,31,312,Manufacturing,1,0
312113: ICE MANUFACTURING,312113,ICE MANUFACTURING,31,312,Manufacturing,1,0
312120: BREWERIES,312120,BREWERIES,NULL,NULL,NULL,NULL,NULL
312130: WINERIES,312130,WINERIES,NULL,NULL,NULL,NULL,NULL
312140: DISTILLERIES,312140,DISTILLERIES,NULL,NULL,NULL,NULL,NULL
312210: TOBACCO STEMMING AND REDRYING,312210,TOBACCO STEMMING AND REDRYING,NULL,NULL,NULL,NULL,NULL
312221: CIGARETTE MANUFACTURING,312221,CIGARETTE MANUFACTURING,NULL,NULL,NULL,NULL,NULL
312229: OTHER TOBACCO PRODUCT MANUFACTURING,312229,OTHER TOBACCO PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
NULL,312230,NULL,NULL,NULL,NULL,NULL,NULL
NULL,313110,NULL,NULL,NULL,NULL,NULL,NULL
313111: YARN SPINNING MILLS,313111,YARN SPINNING MILLS,31,313,Manufacturing,1,0
"313112: YARN TEXTURIZING, THROWING, AND TWISTING MILLS",313112,"YARN TEXTURIZING, THROWING, AND TWISTING MILLS",NULL,NULL,NULL,NULL,NULL
313113: THREAD MILLS,313113,THREAD MILLS,31,313,Manufacturing,1,0
313210: BROADWOVEN FABRIC MILLS,313210,BROADWOVEN FABRIC MILLS,31,313,Manufacturing,1,0
NULL,313220,NULL,NULL,NULL,NULL,NULL,NULL
313221: NARROW FABRIC MILLS,313221,NARROW FABRIC MILLS,31,313,Manufacturing,1,0
313222: SCHIFFLI MACHINE EMBROIDERY,313222,SCHIFFLI MACHINE EMBROIDERY,NULL,NULL,NULL,NULL,NULL
313230: NONWOVEN FABRIC MILLS,313230,NONWOVEN FABRIC MILLS,31,313,Manufacturing,1,0
NULL,313240,NULL,NULL,NULL,NULL,NULL,NULL
313241: WEFT KNIT FABRIC MILLS,313241,WEFT KNIT FABRIC MILLS,NULL,NULL,NULL,NULL,NULL
313249: OTHER KNIT FABRIC AND LACE MILLS,313249,OTHER KNIT FABRIC AND LACE MILLS,31,313,Manufacturing,1,0
NULL,313310,NULL,NULL,NULL,NULL,NULL,NULL
313311: BROADWOVEN FABRIC FINISHING MILLS,313311,BROADWOVEN FABRIC FINISHING MILLS,31,313,Manufacturing,1,0
313312: TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,313312,TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,31,313,Manufacturing,1,0
313320: FABRIC COATING MILLS,313320,FABRIC COATING MILLS,31,313,Manufacturing,1,0
314110: CARPET AND RUG MILLS,314110,CARPET AND RUG MILLS,31,314,Manufacturing,1,0
NULL,314120,NULL,NULL,NULL,NULL,NULL,NULL
314121: CURTAIN AND DRAPERY MILLS,314121,CURTAIN AND DRAPERY MILLS,31,314,Manufacturing,1,0
314129: OTHER HOUSEHOLD TEXTILE PRODUCT MILLS,314129,OTHER HOUSEHOLD TEXTILE PRODUCT MILLS,31,314,Manufacturing,1,0
314910: TEXTILE BAG AND CANVAS MILLS ,314910,TEXTILE BAG AND CANVAS MILLS ,NULL,NULL,NULL,NULL,NULL
314911: TEXTILE BAG MILLS,314911,TEXTILE BAG MILLS,31,314,Manufacturing,1,0
314912: CANVAS AND RELATED PRODUCT MILLS,314912,CANVAS AND RELATED PRODUCT MILLS,31,314,Manufacturing,1,0
31499: ALL OTHER TEXTILE PRODUCT MILLS,31499,ALL OTHER TEXTILE PRODUCT MILLS,NULL,NULL,NULL,NULL,NULL
"314991: ROPE, CORDAGE, AND TWINE MILLS",314991,"ROPE, CORDAGE, AND TWINE MILLS",31,314,Manufacturing,1,0
314992: TIRE CORD AND TIRE FABRIC MILLS,314992,TIRE CORD AND TIRE FABRIC MILLS,NULL,NULL,NULL,NULL,NULL
"314994: ROPE, CORDAGE, TWINE, TIRE CORD, AND TIRE FABRIC MILLS ",314994,"ROPE, CORDAGE, TWINE, TIRE CORD, AND TIRE FABRIC MILLS ",NULL,NULL,NULL,NULL,NULL
314999: ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,31,314,Manufacturing,1,0
NULL,315110,NULL,NULL,NULL,NULL,NULL,NULL
315111: SHEER HOSIERY MILLS,315111,SHEER HOSIERY MILLS,NULL,NULL,NULL,NULL,NULL
315119: OTHER HOSIERY AND SOCK MILLS,315119,OTHER HOSIERY AND SOCK MILLS,31,315,Manufacturing,1,0
NULL,315190,NULL,NULL,NULL,NULL,NULL,NULL
315191: OUTERWEAR KNITTING MILLS,315191,OUTERWEAR KNITTING MILLS,31,315,Manufacturing,1,0
315192: UNDERWEAR AND NIGHTWEAR KNITTING MILLS,315192,UNDERWEAR AND NIGHTWEAR KNITTING MILLS,31,315,Manufacturing,1,0
315210: CUT AND SEW APPAREL CONTRACTORS ,315210,CUT AND SEW APPAREL CONTRACTORS ,NULL,NULL,NULL,NULL,NULL
315211: MEN'S AND BOYS' CUT AND SEW APPAREL CONTRACTORS,315211,MEN'S AND BOYS' CUT AND SEW APPAREL CONTRACTORS,31,315,Manufacturing,1,0
"315212: WOMEN'S, GIRLS', AND INFANTS' CUT AND SEW APPAREL CONTRACTORS",315212,"WOMEN'S, GIRLS', AND INFANTS' CUT AND SEW APPAREL CONTRACTORS",31,315,Manufacturing,1,0
315220: MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING ,315220,MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
315221: MEN'S AND BOYS' CUT AND SEW UNDERWEAR AND NIGHTWEAR MANUFACTURING,315221,MEN'S AND BOYS' CUT AND SEW UNDERWEAR AND NIGHTWEAR MANUFACTURING,31,315,Manufacturing,1,0
"315222: MEN'S AND BOYS' CUT AND SEW SUIT, COAT, AND OVERCOAT MANUFACTURING",315222,"MEN'S AND BOYS' CUT AND SEW SUIT, COAT, AND OVERCOAT MANUFACTURING",31,315,Manufacturing,1,0
315223: MEN'S AND BOYS' CUT AND SEW SHIRT (EXCEPT WORK SHIRT) MANUFACTURING,315223,MEN'S AND BOYS' CUT AND SEW SHIRT (EXCEPT WORK SHIRT) MANUFACTURING,31,315,Manufacturing,1,0
"315224: MEN'S AND BOYS' CUT AND SEW TROUSER, SLACK, AND JEAN MANUFACTURING",315224,"MEN'S AND BOYS' CUT AND SEW TROUSER, SLACK, AND JEAN MANUFACTURING",31,315,Manufacturing,1,0
315225: MEN'S AND BOYS' CUT AND SEW WORK CLOTHING MANUFACTURING,315225,MEN'S AND BOYS' CUT AND SEW WORK CLOTHING MANUFACTURING,31,315,Manufacturing,1,0
315228: MEN'S AND BOYS' CUT AND SEW OTHER OUTERWEAR MANUFACTURING,315228,MEN'S AND BOYS' CUT AND SEW OTHER OUTERWEAR MANUFACTURING,31,315,Manufacturing,1,0
"315231: WOMEN'S AND GIRLS' CUT AND SEW LINGERIE, LOUNGEWEAR, AND NIGHTWEAR MANUFACTURING",315231,"WOMEN'S AND GIRLS' CUT AND SEW LINGERIE, LOUNGEWEAR, AND NIGHTWEAR MANUFACTURING",NULL,NULL,NULL,NULL,NULL
315232: WOMEN'S AND GIRLS' CUT AND SEW BLOUSE AND SHIRT MANUFACTURING,315232,WOMEN'S AND GIRLS' CUT AND SEW BLOUSE AND SHIRT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
315233: WOMEN'S AND GIRLS' CUT AND SEW DRESS MANUFACTURING,315233,WOMEN'S AND GIRLS' CUT AND SEW DRESS MANUFACTURING,NULL,NULL,NULL,NULL,NULL
"315234: WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",315234,"WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",NULL,NULL,NULL,NULL,NULL
315239: WOMEN'S AND GIRLS' CUT AND SEW OTHER OUTERWEAR MANUFACTURING,315239,WOMEN'S AND GIRLS' CUT AND SEW OTHER OUTERWEAR MANUFACTURING,31,315,Manufacturing,1,0
NULL,315240,NULL,NULL,NULL,NULL,NULL,NULL
315280: OTHER CUT AND SEW APPAREL MANUFACTURING ,315280,OTHER CUT AND SEW APPAREL MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
315291: INFANTS' CUT AND SEW APPAREL MANUFACTURING,315291,INFANTS' CUT AND SEW APPAREL MANUFACTURING,NULL,NULL,NULL,NULL,NULL
315292: FUR AND LEATHER APPAREL MANUFACTURING,315292,FUR AND LEATHER APPAREL MANUFACTURING,NULL,NULL,NULL,NULL,NULL
315299: ALL OTHER CUT AND SEW APPAREL MANUFACTURING,315299,ALL OTHER CUT AND SEW APPAREL MANUFACTURING,31,315,Manufacturing,1,0
315990: APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING ,315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
"315991: HAT, CAP, AND MILLINERY MANUFACTURING",315991,"HAT, CAP, AND MILLINERY MANUFACTURING",31,315,Manufacturing,1,0
315992: GLOVE AND MITTEN MANUFACTURING,315992,GLOVE AND MITTEN MANUFACTURING,31,315,Manufacturing,1,0
315993: MEN'S AND BOYS' NECKWEAR MANUFACTURING,315993,MEN'S AND BOYS' NECKWEAR MANUFACTURING,31,315,Manufacturing,1,0
315999: OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,315999,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,31,315,Manufacturing,1,0
316110: LEATHER AND HIDE TANNING AND FINISHING,316110,LEATHER AND HIDE TANNING AND FINISHING,31,316,Manufacturing,1,0
316210: FOOTWEAR MANUFACTURING ,316210,FOOTWEAR MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
316211: RUBBER AND PLASTICS FOOTWEAR MANUFACTURING,316211,RUBBER AND PLASTICS FOOTWEAR MANUFACTURING,31,316,Manufacturing,1,0
316212: HOUSE SLIPPER MANUFACTURING,316212,HOUSE SLIPPER MANUFACTURING,31,316,Manufacturing,1,0
316213: MEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,316213,MEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,31,316,Manufacturing,1,0
316214: WOMEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,316214,WOMEN'S FOOTWEAR (EXCEPT ATHLETIC) MANUFACTURING,NULL,NULL,NULL,NULL,NULL
316219: OTHER FOOTWEAR MANUFACTURING,316219,OTHER FOOTWEAR MANUFACTURING,31,316,Manufacturing,1,0
316991: LUGGAGE MANUFACTURING,316991,LUGGAGE MANUFACTURING,31,316,Manufacturing,1,0
316992: WOMEN'S HANDBAG AND PURSE MANUFACTURING,316992,WOMEN'S HANDBAG AND PURSE MANUFACTURING,31,316,Manufacturing,1,0
316993: PERSONAL LEATHER GOOD (EXCEPT WOMEN'S HANDBAG AND PURSE) MANUFACTURING,316993,PERSONAL LEATHER GOOD (EXCEPT WOMEN'S HANDBAG AND PURSE) MANUFACTURING,31,316,Manufacturing,1,0
316998: ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING ,316998,ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
316999: ALL OTHER LEATHER GOOD MANUFACTURING,316999,ALL OTHER LEATHER GOOD MANUFACTURING,31,316,Manufacturing,1,0
321113: SAWMILLS,321113,SAWMILLS,32,321,Manufacturing,1,0
321114: WOOD PRESERVATION,321114,WOOD PRESERVATION,32,321,Manufacturing,1,0
321211: HARDWOOD VENEER AND PLYWOOD MANUFACTURING,321211,HARDWOOD VENEER AND PLYWOOD MANUFACTURING,32,321,Manufacturing,1,0
321212: SOFTWOOD VENEER AND PLYWOOD MANUFACTURING,321212,SOFTWOOD VENEER AND PLYWOOD MANUFACTURING,32,321,Manufacturing,1,0
321213: ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING,321213,ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING,NULL,NULL,NULL,NULL,NULL
321214: TRUSS MANUFACTURING,321214,TRUSS MANUFACTURING,NULL,NULL,NULL,NULL,NULL
321219: RECONSTITUTED WOOD PRODUCT MANUFACTURING,321219,RECONSTITUTED WOOD PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
321911: WOOD WINDOW AND DOOR MANUFACTURING,321911,WOOD WINDOW AND DOOR MANUFACTURING,32,321,Manufacturing,1,0
"321912: CUT STOCK, RESAWING LUMBER, AND PLANING",321912,"CUT STOCK, RESAWING LUMBER, AND PLANING",32,321,Manufacturing,1,0
321918: OTHER MILLWORK (INCLUDING FLOORING),321918,OTHER MILLWORK (INCLUDING FLOORING),32,321,Manufacturing,1,0
321920: WOOD CONTAINER AND PALLET MANUFACTURING,321920,WOOD CONTAINER AND PALLET MANUFACTURING,32,321,Manufacturing,1,0
321991: MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,321991,MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,32,321,Manufacturing,1,0
321992: PREFABRICATED WOOD BUILDING MANUFACTURING,321992,PREFABRICATED WOOD BUILDING MANUFACTURING,32,321,Manufacturing,1,0
321999: ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,321999,ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,32,321,Manufacturing,1,0
322110: PULP MILLS,322110,PULP MILLS,NULL,NULL,NULL,NULL,NULL
322121: PAPER (EXCEPT NEWSPRINT) MILLS,322121,PAPER (EXCEPT NEWSPRINT) MILLS,32,322,Manufacturing,1,0
322122: NEWSPRINT MILLS,322122,NEWSPRINT MILLS,32,322,Manufacturing,1,0
322130: PAPERBOARD MILLS,322130,PAPERBOARD MILLS,32,322,Manufacturing,1,0
322211: CORRUGATED AND SOLID FIBER BOX MANUFACTURING,322211,CORRUGATED AND SOLID FIBER BOX MANUFACTURING,32,322,Manufacturing,1,0
322212: FOLDING PAPERBOARD BOX MANUFACTURING,322212,FOLDING PAPERBOARD BOX MANUFACTURING,32,322,Manufacturing,1,0
322213: SETUP PAPERBOARD BOX MANUFACTURING,322213,SETUP PAPERBOARD BOX MANUFACTURING,NULL,NULL,NULL,NULL,NULL
"322214: FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",322214,"FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",NULL,NULL,NULL,NULL,NULL
322215: NONFOLDING SANITARY FOOD CONTAINER MANUFACTURING,322215,NONFOLDING SANITARY FOOD CONTAINER MANUFACTURING,32,322,Manufacturing,1,0
NULL,322219,NULL,NULL,NULL,NULL,NULL,NULL
322220: ,322220,,NULL,NULL,NULL,NULL,NULL
322221: COATED AND LAMINATED PACKAGING PAPER AND PLASTICS FILM MANUFACTURING,322221,COATED AND LAMINATED PACKAGING PAPER AND PLASTICS FILM MANUFACTURING,32,322,Manufacturing,1,0
322222: COATED AND LAMINATED PAPER MANUFACTURING,322222,COATED AND LAMINATED PAPER MANUFACTURING,32,322,Manufacturing,1,0
